id,user_id,admin_id,category,description,ip_address,browser,type,created_at,updated_at
1126,101,,Logout,"User logout",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T16:37:03.000000Z,2022-08-19T16:37:03.000000Z
1125,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T16:16:39.000000Z,2022-08-19T16:16:39.000000Z
1124,90,,"Project Posted","Client posted a new project < p >adklsj fsdaf< /p > project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T12:18:35.000000Z,2022-08-19T12:18:35.000000Z
1123,90,,"Project Posted","Client posted a new project < p >adklsj fsdaf< /p > project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T12:18:34.000000Z,2022-08-19T12:18:34.000000Z
1122,,2,"Send Mail","Admin has send a message to user",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T12:17:09.000000Z,2022-08-19T12:17:09.000000Z
1121,,2,"Send Mail","Admin has send a message to user",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T12:14:59.000000Z,2022-08-19T12:14:59.000000Z
1120,,2,"Send Mail","Admin has send a message to user",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T12:14:11.000000Z,2022-08-19T12:14:11.000000Z
1119,,2,"Send Mail","Admin has send a message to user",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T12:14:06.000000Z,2022-08-19T12:14:06.000000Z
1118,101,,"Update Profile","Writer updated profile",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T11:29:53.000000Z,2022-08-19T11:29:53.000000Z
1117,90,,"Project Edit","User edit testing project123123 project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T11:27:14.000000Z,2022-08-19T11:27:14.000000Z
1116,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T11:23:57.000000Z,2022-08-19T11:23:57.000000Z
1115,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T08:51:20.000000Z,2022-08-19T08:51:20.000000Z
1114,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-19T08:50:14.000000Z,2022-08-19T08:50:14.000000Z
1113,90,,"Project Posted","Client posted a new project Delectus illo ullam project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-18T10:11:50.000000Z,2022-08-18T10:11:50.000000Z
1112,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-18T10:08:34.000000Z,2022-08-18T10:08:34.000000Z
